,State Name,District,Rural/Urban_rur,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Rural/Urban_urb,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
173,Uttar Pradesh,Bara Banki,Rural,635840.0,323642.56,75664.95999999999,83930.87999999999,Urban,79068.0,31231.859999999997,6957.984,53608.10399999999
174,Uttar Pradesh,Faizabad,Rural,510378.0,262334.29199999996,47465.154,74004.81,Urban,79288.0,28622.968,3885.112,60417.456
175,Uttar Pradesh,Ambedkar Nagar,Rural,501559.0,232723.376,49654.341,69716.701,Urban,65030.99999999999,27313.019999999997,6373.038,35376.863999999994
176,Uttar Pradesh,Sultanpur,Rural,839737.0000000001,418189.026,72217.382,110005.547,Urban,49891.0,14817.627,2195.204,36370.539000000004
177,Uttar Pradesh,Bahraich,Rural,698520.0,430986.84,60072.719999999994,73344.59999999999,Urban,61741.99999999999,25931.64,3519.294,49084.89
178,Uttar Pradesh,Shrawasti,Rural,248769.99999999997,139808.74,16916.359999999997,25872.079999999998,Urban,8504.0,3189.0000000000005,850.4000000000001,5357.52
179,Uttar Pradesh,Balrampur,Rural,410070.0,232509.69,27474.69,41827.13999999999,Urban,35768.0,14486.04,1466.4879999999998,25717.192000000003
180,Uttar Pradesh,Gonda,Rural,673578.0,344198.358,76114.314,53212.662000000004,Urban,52794.00000000001,17158.050000000003,2322.9360000000006,40704.174
181,Uttar Pradesh,Siddharthnagar,Rural,480164.99999999994,215113.91999999998,31690.889999999996,49937.159999999996,Urban,33348.0,11805.192000000001,1734.0960000000002,15640.212
182,Uttar Pradesh,Basti,Rural,513960.00000000006,207125.88,51396.0,67328.76000000001,Urban,31064.999999999996,11090.205,2112.4199999999996,22397.864999999998
183,Uttar Pradesh,Sant Kabir Nagar,Rural,324972.0,141037.848,33147.14399999999,39971.556,Urban,27179.000000000004,10300.841,1739.4560000000001,13507.963000000002
184,Uttar Pradesh,Mahrajganj,Rural,573046.0,294545.644,50428.048,95698.682,Urban,34033.0,13374.969,1973.9139999999998,19875.271999999997
185,Uttar Pradesh,Gorakhpur,Rural,761958.0,356596.344,67814.262,141724.18800000002,Urban,189170.0,59777.72,6999.290000000001,152092.68000000002
186,Uttar Pradesh,Kushinagar,Rural,742324.0,414959.116,63097.54,109863.952,Urban,42775.0,16553.925000000003,4020.8500000000004,26648.824999999997
187,Uttar Pradesh,Deoria,Rural,597778.0,277966.76999999996,50811.13,99828.92599999999,Urban,67928.0,22823.808,4483.248,42387.072
